[[28, 46.892857142857146, 0, nan], [((0, 1), 0.0), [0, 0, 100], 60]]
[[90, 23.0, 0, nan], [((0, 1), 0.7853981633974483), [0, 0, 100], 60]]
[[27, 46.407407407407405, 0, nan], [((0, 1), 1.5707963267948966), [0, 0, 100], 60]]
[[89, 20.910112359550563, 0, nan], [((0, 1), 2.356194490192345), [0, 0, 100], 60]]
[[27, 45.111111111111114, 0, nan], [((0, 1), 3.141592653589793), [0, 0, 100], 60]]
[[91, 22.956043956043956, 0, nan], [((0, 1), 3.9269908169872414), [0, 0, 100], 60]]
[[31, 47.161290322580648, 0, nan], [((0, 1), 4.71238898038469), [0, 0, 100], 60]]
[[86, 24.488372093023255, 0, nan], [((0, 1), 5.497787143782138), [0, 0, 100], 60]]
[[30, 47.133333333333333, 0, nan], [((0, 2), 0.0), [0, 0, 100], 60]]
[[91, 22.098901098901099, 0, nan], [((0, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[26, 47.115384615384613, 0, nan], [((0, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[92, 22.032608695652176, 0, nan], [((0, 2), 2.356194490192345), [0, 0, 100], 60]]
[[28, 46.928571428571431, 0, nan], [((0, 2), 3.141592653589793), [0, 0, 100], 60]]
[[86, 21.767441860465116, 0, nan], [((0, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[26, 45.807692307692307, 0, nan], [((0, 2), 4.71238898038469), [0, 0, 100], 60]]
[[88, 22.613636363636363, 0, nan], [((0, 2), 5.497787143782138), [0, 0, 100], 60]]
[[31, 46.70967741935484, 0, nan], [((0, 3), 0.0), [0, 0, 100], 60]]
[[92, 20.75, 0, nan], [((0, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[28, 46.464285714285715, 0, nan], [((0, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[90, 20.211111111111112, 0, nan], [((0, 3), 2.356194490192345), [0, 0, 100], 60]]
[[31, 46.096774193548384, 0, nan], [((0, 3), 3.141592653589793), [0, 0, 100], 60]]
[[91, 22.285714285714285, 0, nan], [((0, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[30, 46.93333333333333, 0, nan], [((0, 3), 4.71238898038469), [0, 0, 100], 60]]
[[84, 20.571428571428573, 0, nan], [((0, 3), 5.497787143782138), [0, 0, 100], 60]]
[[34, 46.647058823529413, 0, nan], [((0, 4), 0.0), [0, 0, 100], 60]]
[[94, 21.829787234042552, 0, nan], [((0, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[32, 44.9375, 0, nan], [((0, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[90, 20.18888888888889, 0, nan], [((0, 4), 2.356194490192345), [0, 0, 100], 60]]
[[27, 46.407407407407405, 0, nan], [((0, 4), 3.141592653589793), [0, 0, 100], 60]]
[[90, 24.122222222222224, 0, nan], [((0, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[28, 47.285714285714285, 0, nan], [((0, 4), 4.71238898038469), [0, 0, 100], 60]]
[[95, 24.168421052631579, 0, nan], [((0, 4), 5.497787143782138), [0, 0, 100], 60]]
[[32, 46.625, 0, nan], [((0, 5), 0.0), [0, 0, 100], 60]]
[[95, 19.705263157894738, 0, nan], [((0, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[27, 45.407407407407405, 0, nan], [((0, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[91, 20.549450549450551, 0, nan], [((0, 5), 2.356194490192345), [0, 0, 100], 60]]
[[32, 46.90625, 0, nan], [((0, 5), 3.141592653589793), [0, 0, 100], 60]]
[[89, 25.235955056179776, 0, nan], [((0, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[23, 47.347826086956523, 0, nan], [((0, 5), 4.71238898038469), [0, 0, 100], 60]]
[[87, 24.609195402298852, 0, nan], [((0, 5), 5.497787143782138), [0, 0, 100], 60]]
[[28, 46.142857142857146, 0, nan], [((1, 1), 0.0), [0, 0, 100], 60]]
[[85, 21.411764705882351, 0, nan], [((1, 1), 0.7853981633974483), [0, 0, 100], 60]]
[[31, 46.451612903225808, 0, nan], [((1, 1), 1.5707963267948966), [0, 0, 100], 60]]
