[[0, nan, 0, nan], [((0, 1), 0.0), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [100, 0, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [100, 0, 0], 60]]
[[100, 14.0, 0, nan], [((0, 2), 0.0), [100, 0, 0], 60]]
[[0, nan, 100, 7.0], [((0, 2), 0.7853981633974483), [100, 0, 0], 60]]
[[100, 24.0, 0, nan], [((0, 2), 1.5707963267948966), [100, 0, 0], 60]]
[[100, 11.0, 0, nan], [((0, 2), 2.356194490192345), [100, 0, 0], 60]]
[[100, 31.0, 0, nan], [((0, 2), 3.141592653589793), [100, 0, 0], 60]]
[[100, 11.0, 0, nan], [((0, 2), 3.9269908169872414), [100, 0, 0], 60]]
[[100, 1.0, 0, nan], [((0, 2), 4.71238898038469), [100, 0, 0], 60]]
[[100, 26.0, 0, nan], [((0, 2), 5.497787143782138), [100, 0, 0], 60]]
[[100, 37.0, 0, nan], [((0, 3), 0.0), [100, 0, 0], 60]]
[[100, 9.0, 0, nan], [((0, 3), 0.7853981633974483), [100, 0, 0], 60]]
[[0, nan, 100, 5.0], [((0, 3), 1.5707963267948966), [100, 0, 0], 60]]
[[100, 11.0, 0, nan], [((0, 3), 2.356194490192345), [100, 0, 0], 60]]
[[100, 12.0, 0, nan], [((0, 3), 3.141592653589793), [100, 0, 0], 60]]
[[100, 2.0, 0, nan], [((0, 3), 3.9269908169872414), [100, 0, 0], 60]]
[[100, 12.0, 0, nan], [((0, 3), 4.71238898038469), [100, 0, 0], 60]]
[[100, 11.0, 0, nan], [((0, 3), 5.497787143782138), [100, 0, 0], 60]]
[[100, 10.0, 0, nan], [((0, 4), 0.0), [100, 0, 0], 60]]
