[[0, nan, 0, nan], [((0, 1), 0.0), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [0, 0, 100], 60]]
[[96, 3.5729166666666665, 4, 16.0], [((0, 2), 0.0), [0, 0, 100], 60]]
[[42, 18.095238095238095, 54, 14.388888888888889], [((0, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[48, 20.4375, 52, 11.134615384615385], [((0, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[22, 23.818181818181817, 77, 7.2727272727272725], [((0, 2), 2.356194490192345), [0, 0, 100], 60]]
[[95, 3.3894736842105262, 5, 20.399999999999999], [((0, 2), 3.141592653589793), [0, 0, 100], 60]]
[[49, 12.938775510204081, 51, 22.509803921568629], [((0, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[95, 2.0210526315789474, 5, 24.0], [((0, 2), 4.71238898038469), [0, 0, 100], 60]]
[[52, 12.807692307692308, 48, 21.833333333333332], [((0, 2), 5.497787143782138), [0, 0, 100], 60]]
[[59, 3.152542372881356, 41, 18.463414634146343], [((0, 3), 0.0), [0, 0, 100], 60]]
[[43, 16.162790697674417, 54, 19.351851851851851], [((0, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[26, 19.76923076923077, 73, 7.9452054794520546], [((0, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[32, 18.65625, 67, 8.432835820895523], [((0, 3), 2.356194490192345), [0, 0, 100], 60]]
[[68, 3.8676470588235294, 32, 30.09375], [((0, 3), 3.141592653589793), [0, 0, 100], 60]]
[[73, 11.575342465753424, 27, 21.037037037037038], [((0, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[57, 3.0, 43, 14.953488372093023], [((0, 3), 4.71238898038469), [0, 0, 100], 60]]
[[57, 8.9649122807017552, 43, 20.302325581395348], [((0, 3), 5.497787143782138), [0, 0, 100], 60]]
[[85, 4.0117647058823529, 15, 23.399999999999999], [((0, 4), 0.0), [0, 0, 100], 60]]
[[48, 13.75, 52, 20.057692307692307], [((0, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[11, 25.272727272727273, 88, 6.4431818181818183], [((0, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[45, 17.044444444444444, 55, 16.636363636363637], [((0, 4), 2.356194490192345), [0, 0, 100], 60]]
[[73, 4.0, 27, 19.814814814814813], [((0, 4), 3.141592653589793), [0, 0, 100], 60]]
[[64, 14.703125, 35, 13.199999999999999], [((0, 4), 3.9269908169872414), [0, 0, 100], 60]]
