[[0, nan, 0, nan], [((0, 1), 0.0), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [0, 0, 100], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [0, 0, 100], 60]]
[[96, 3.0, 4, 9.25], [((0, 2), 0.0), [0, 0, 100], 60]]
[[45, 16.733333333333334, 54, 17.222222222222221], [((0, 2), 0.7853981633974483), [0, 0, 100], 60]]
[[39, 15.410256410256411, 60, 13.666666666666666], [((0, 2), 1.5707963267948966), [0, 0, 100], 60]]
[[19, 25.526315789473685, 81, 7.9876543209876543], [((0, 2), 2.356194490192345), [0, 0, 100], 60]]
[[97, 3.0, 3, 19.333333333333332], [((0, 2), 3.141592653589793), [0, 0, 100], 60]]
[[62, 16.225806451612904, 38, 18.421052631578949], [((0, 2), 3.9269908169872414), [0, 0, 100], 60]]
[[93, 2.021505376344086, 7, 24.857142857142858], [((0, 2), 4.71238898038469), [0, 0, 100], 60]]
[[41, 10.585365853658537, 59, 17.016949152542374], [((0, 2), 5.497787143782138), [0, 0, 100], 60]]
[[75, 5.4933333333333332, 24, 14.791666666666666], [((0, 3), 0.0), [0, 0, 100], 60]]
[[46, 15.630434782608695, 53, 20.264150943396228], [((0, 3), 0.7853981633974483), [0, 0, 100], 60]]
[[23, 22.565217391304348, 76, 7.1842105263157894], [((0, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[25, 23.32, 73, 8.3013698630136989], [((0, 3), 2.356194490192345), [0, 0, 100], 60]]
[[65, 3.4923076923076923, 35, 26.685714285714287], [((0, 3), 3.141592653589793), [0, 0, 100], 60]]
[[76, 11.302631578947368, 24, 22.0], [((0, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[60, 3.0, 40, 16.774999999999999], [((0, 3), 4.71238898038469), [0, 0, 100], 60]]
[[60, 9.3666666666666671, 40, 20.675000000000001], [((0, 3), 5.497787143782138), [0, 0, 100], 60]]
[[81, 4.0123456790123457, 19, 22.105263157894736], [((0, 4), 0.0), [0, 0, 100], 60]]
[[57, 13.508771929824562, 43, 27.511627906976745], [((0, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[14, 17.142857142857142, 86, 6.3837209302325579], [((0, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[42, 18.5, 56, 13.357142857142858], [((0, 4), 2.356194490192345), [0, 0, 100], 60]]
[[90, 4.8888888888888893, 10, 11.199999999999999], [((0, 4), 3.141592653589793), [0, 0, 100], 60]]
[[63, 14.507936507936508, 37, 22.108108108108109], [((0, 4), 3.9269908169872414), [0, 0, 100], 60]]
