[[0, nan, 0, nan], [((0, 1), 0.0), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 0.7853981633974483), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 1.5707963267948966), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 2.356194490192345), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.141592653589793), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 3.9269908169872414), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 4.71238898038469), [0, 100, 0], 60]]
[[0, nan, 0, nan], [((0, 1), 5.497787143782138), [0, 100, 0], 60]]
[[93, 3.0, 7, 16.285714285714285], [((0, 2), 0.0), [0, 100, 0], 60]]
[[39, 15.820512820512821, 61, 15.229508196721312], [((0, 2), 0.7853981633974483), [0, 100, 0], 60]]
[[31, 16.70967741935484, 67, 11.955223880597014], [((0, 2), 1.5707963267948966), [0, 100, 0], 60]]
[[14, 22.285714285714285, 85, 7.3058823529411763], [((0, 2), 2.356194490192345), [0, 100, 0], 60]]
[[100, 3.7599999999999998, 0, nan], [((0, 2), 3.141592653589793), [0, 100, 0], 60]]
[[55, 14.709090909090909, 45, 19.244444444444444], [((0, 2), 3.9269908169872414), [0, 100, 0], 60]]
[[98, 2.0612244897959182, 2, 28.0], [((0, 2), 4.71238898038469), [0, 100, 0], 60]]
[[49, 13.673469387755102, 51, 12.372549019607844], [((0, 2), 5.497787143782138), [0, 100, 0], 60]]
[[65, 3.1230769230769231, 35, 19.942857142857143], [((0, 3), 0.0), [0, 100, 0], 60]]
[[48, 15.375, 52, 19.76923076923077], [((0, 3), 0.7853981633974483), [0, 100, 0], 60]]
[[12, 18.0, 88, 7.4659090909090908], [((0, 3), 1.5707963267948966), [0, 100, 0], 60]]
[[31, 18.741935483870968, 67, 7.5970149253731343], [((0, 3), 2.356194490192345), [0, 100, 0], 60]]
[[68, 3.3529411764705883, 32, 26.625], [((0, 3), 3.141592653589793), [0, 100, 0], 60]]
[[64, 6.703125, 36, 21.194444444444443], [((0, 3), 3.9269908169872414), [0, 100, 0], 60]]
[[58, 3.0, 42, 14.19047619047619], [((0, 3), 4.71238898038469), [0, 100, 0], 60]]
[[53, 5.6792452830188678, 47, 22.276595744680851], [((0, 3), 5.497787143782138), [0, 100, 0], 60]]
[[83, 3.9759036144578315, 17, 19.941176470588236], [((0, 4), 0.0), [0, 100, 0], 60]]
[[49, 14.73469387755102, 51, 21.96078431372549], [((0, 4), 0.7853981633974483), [0, 100, 0], 60]]
[[14, 23.5, 86, 6.058139534883721], [((0, 4), 1.5707963267948966), [0, 100, 0], 60]]
[[40, 15.75, 59, 12.949152542372881], [((0, 4), 2.356194490192345), [0, 100, 0], 60]]
[[76, 3.986842105263158, 24, 22.041666666666668], [((0, 4), 3.141592653589793), [0, 100, 0], 60]]
[[50, 9.1400000000000006, 50, 19.02], [((0, 4), 3.9269908169872414), [0, 100, 0], 60]]
[[76, 3.3947368421052633, 24, 21.041666666666668], [((0, 4), 4.71238898038469), [0, 100, 0], 60]]
[[69, 4.4927536231884062, 31, 27.129032258064516], [((0, 4), 5.497787143782138), [0, 100, 0], 60]]
[[69, 4.36231884057971, 31, 19.677419354838708], [((0, 5), 0.0), [0, 100, 0], 60]]
[[57, 18.07017543859649, 41, 24.512195121951219], [((0, 5), 0.7853981633974483), [0, 100, 0], 60]]
