AgentID	first_action_duration	first_action_termination
Mouse_001	8.0	Closure
Mouse_002	8.0	Closure
Mouse_003	8.0	Closure
Mouse_004	8.0	Closure
Mouse_005	8.0	Closure
Mouse_006	8.0	Closure
Mouse_007	8.0	Closure
Mouse_008	8.0	Closure
Mouse_009	8.0	Closure
Mouse_010	8.0	Closure
Mouse_011	7.0	Closure
Mouse_012	7.0	Closure
Mouse_013	8.0	Closure
Mouse_014	16.0	Failure
Mouse_015	20.0	
Mouse_016	7.0	Closure
Mouse_017	9.0	Closure
Mouse_018	20.0	
Mouse_019	12.0	Closure
Mouse_020	7.0	Closure
Mouse_021	6.0	Closure
Mouse_022	17.0	Closure
Mouse_023	6.0	Closure
Mouse_024	15.0	Closure
Mouse_025	12.0	Closure
Mouse_026	8.0	Closure
Mouse_027	15.0	Closure
Mouse_028	12.0	Closure
Mouse_029	7.0	Closure
Mouse_030	11.0	Closure
