AgentID	Genome
Mouse_1	[ 0.48  0.79  0.86  0.52  0.37]
Mouse_10	[ 0.6   0.2   0.55  0.59  0.59]
Mouse_100	[ 0.91  0.3   0.95  0.79  0.1 ]
Mouse_11	[ 0.7   0.69  0.88  0.67  0.43]
Mouse_12	[ 0.43  0.64  0.75  0.26  0.54]
Mouse_13	[ 0.96  0.94  0.31  0.17  0.05]
Mouse_14	[ 0.54  0.63  0.76  0.55  0.56]
Mouse_15	[ 0.06  0.37  0.84  0.55  0.66]
Mouse_16	[ 0.67  0.45  0.81  0.37  0.19]
Mouse_17	[ 0.4   0.3   0.3   0.91  0.94]
Mouse_18	[ 0.14  0.67  0.09  0.39  0.46]
Mouse_19	[ 0.67  0.84  0.68  0.35  0.7 ]
Mouse_2	[ 0.45  0.03  0.55  0.97  0.86]
Mouse_20	[ 0.57  0.08  0.49  0.47  0.76]
Mouse_21	[ 0.45  0.66  0.24  0.8   0.94]
Mouse_22	[ 0.96  0.69  0.07  0.45  0.36]
Mouse_23	[ 0.91  0.59  0.81  0.82  0.35]
Mouse_24	[ 0.68  0.14  0.47  0.67  0.1 ]
Mouse_25	[ 0.19  0.56  0.5   0.65  0.46]
Mouse_26	[ 0.35  0.92  0.16  0.64  0.74]
Mouse_27	[ 0.66  0.35  0.96  0.26  0.81]
Mouse_28	[ 0.02  0.88  0.52  0.15  0.4 ]
Mouse_29	[ 0.32  0.95  0.99  0.78  0.96]
Mouse_3	[ 0.01  0.82  0.41  0.47  0.48]
Mouse_30	[ 0.6   0.32  0.38  0.95  0.01]
Mouse_31	[ 0.88  0.58  0.24  0.55  0.21]
Mouse_32	[ 0.98  0.95  0.08  0.52  0.56]
Mouse_33	[ 0.62  0.19  0.15  0.22  0.86]
Mouse_34	[ 0.08  0.17  0.5   0.38  0.08]
Mouse_35	[ 0.81  0.93  0.4   0.79  0.71]
Mouse_36	[ 0.58  0.89  0.95  0.58  0.64]
Mouse_37	[ 0.69  0.27  0.95  0.7   0.78]
Mouse_38	[ 0.21  0.73  0.42  0.47  0.79]
Mouse_39	[ 0.24  0.24  0.24  0.41  0.1 ]
Mouse_4	[ 0.4   0.49  0.99  0.9   0.71]
Mouse_40	[ 0.68  0.89  0.38  0.3   0.49]
Mouse_41	[ 0.35  0.44  0.65  0.5   0.21]
Mouse_42	[ 0.4   0.99  0.38  0.83  0.67]
Mouse_43	[ 0.46  0.14  0.01  0.74  0.01]
Mouse_44	[ 0.51  0.96  0.17  0.25  0.18]
Mouse_45	[ 0.05  0.16  0.91  0.86  0.6 ]
Mouse_46	[ 0.21  0.96  0.65  0.48  0.16]
Mouse_47	[ 0.46  0.19  0.92  0.89  0.07]
Mouse_48	[ 0.64  0.47  0.19  0.07  0.98]
Mouse_49	[ 0.71  0.37  0.25  0.7   0.83]
Mouse_5	[ 0.23  0.43  0.58  0.12  0.88]
Mouse_50	[ 0.93  0.29  0.99  0.36  0.43]
Mouse_51	[ 0.58  0.68  0.57  0.28  0.23]
Mouse_52	[ 0.23  0.55  0.45  0.78  0.09]
Mouse_53	[ 0.41  0.77  0.85  0.46  0.5 ]
Mouse_54	[ 0.98  0.26  0.01  0.03  0.94]
Mouse_55	[ 0.8   0.44  0.92  0.53  0.44]
Mouse_56	[ 0.8   0.44  0.43  0.39  0.75]
Mouse_57	[ 0.24  0.38  0.41  0.93  0.24]
Mouse_58	[ 0.02  0.73  0.26  0.23  0.42]
Mouse_59	[ 0.95  0.68  0.89  0.24  0.32]
Mouse_6	[ 0.33  0.94  0.01  0.6   0.7 ]
Mouse_60	[ 0.88  0.03  0.38  0.23  0.25]
Mouse_61	[ 0.81  0.83  0.19  0.57  0.13]
Mouse_62	[ 0.72  0.99  0.16  0.8   0.79]
Mouse_63	[ 0.62  0.18  0.97  0.91  0.53]
Mouse_64	[ 0.99  0.15  0.54  0.47  0.72]
Mouse_65	[ 0.99  0.98  0.41  0.19  0.32]
Mouse_66	[ 0.55  0.3   0.69  0.52  0.9 ]
