AgentID	Genome	motor_NN_on	learning_on
Mouse_1	[ 0.44  0.65  0.12  0.28  0.63]	False	False
Mouse_10	[ 0.92  0.95  0.73  0.88  0.67]	False	False
Mouse_100	[ 0.02  0.06  0.01  0.99  0.49]	False	False
Mouse_1004	[ 0.15  0.03  0.82  0.26  0.7 ]	False	False
Mouse_1007	[ 0.82  0.    0.3   0.2   0.94]	True	True
Mouse_1009	[ 0.08  0.11  0.89  0.82  0.42]	True	True
Mouse_101	[ 0.23  0.27  0.21  0.97  0.24]	False	False
Mouse_1010	[ 0.92  0.02  0.29  0.1   0.18]	True	True
Mouse_1014	[ 0.06  0.03  0.29  0.26  0.77]	False	False
Mouse_1016	[ 0.76  0.04  1.    0.99  0.31]	True	True
Mouse_1018	[ 0.06  0.04  0.03  0.47  0.71]	True	True
Mouse_102	[ 0.2   0.59  0.22  0.71  0.95]	False	False
Mouse_1022	[ 0.7   0.17  0.66  0.03  0.12]	False	False
Mouse_103	[ 0.47  0.96  0.21  0.14  0.23]	False	False
Mouse_1030	[ 0.    0.14  0.16  0.53  0.89]	True	True
Mouse_1034	[ 0.6   0.17  0.33  0.54  0.2 ]	True	True
Mouse_1035	[ 0.28  0.17  0.87  0.27  0.83]	True	True
Mouse_104	[ 0.9   0.49  0.11  0.53  0.66]	False	False
Mouse_1044	[ 0.28  0.3   0.83  0.11  0.08]	True	True
Mouse_1045	[ 0.13  0.21  0.36  0.47  0.68]	True	True
Mouse_105	[ 0.14  0.1   0.83  0.68  0.41]	False	False
Mouse_1051	[ 0.25  0.24  0.79  0.81  0.9 ]	True	True
Mouse_1053	[ 0.6   0.14  0.24  0.56  0.12]	True	True
Mouse_1058	[ 0.17  0.28  0.29  0.61  0.83]	True	True
Mouse_106	[ 0.44  0.84  0.66  0.07  0.56]	False	False
Mouse_1064	[ 0.28  0.39  0.01  0.18  0.2 ]	True	True
Mouse_1065	[ 0.    0.29  0.99  0.19  0.45]	False	False
Mouse_107	[ 0.34  0.44  0.47  0.56  0.78]	False	False
Mouse_1074	[ 0.49  0.44  0.22  0.77  0.75]	True	True
Mouse_108	[ 0.78  0.58  0.21  0.87  0.4 ]	False	False
Mouse_1081	[ 0.46  0.42  0.39  0.69  0.86]	False	False
Mouse_1082	[ 0.08  0.01  0.79  0.82  0.52]	True	True
Mouse_109	[ 0.5   0.56  0.7   0.09  0.16]	False	False
Mouse_11	[ 0.79  0.79  0.13  0.28  0.02]	False	False
Mouse_110	[ 0.74  0.08  0.21  0.09  0.84]	False	False
Mouse_1101	[ 0.04  0.65  0.01  0.35  0.95]	False	False
Mouse_111	[ 0.46  0.7   0.63  0.3   0.51]	False	False
Mouse_1113	[ 0.06  0.83  0.72  0.4   0.92]	True	True
Mouse_1117	[ 0.28  0.17  0.77  0.27  0.83]	True	True
Mouse_1119	[ 0.73  0.85  0.52  0.63  0.77]	False	False
Mouse_112	[ 0.59  0.52  0.02  0.91  0.34]	False	False
Mouse_113	[ 0.07  1.    0.85  0.22  0.83]	False	False
Mouse_1130	[ 0.72  0.    0.3   0.1   0.94]	True	True
Mouse_1133	[ 0.56  0.02  0.93  0.22  0.04]	True	True
